food_id,food_name,brand,categories,countries,collection_location,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,salt_g,nutriscore,nova_group,serving_size,quantity,source,region,diet_type
IND_FOOD_137,Washed moong dal (Dhuli moong ki dal),,Indian Food,India,India,50.0,2.68,5.91,1.68,1.17,0.12,150.64,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_138,Washed urad dal (Dhuli urad ki dal),,Indian Food,India,India,61.32,2.51,5.84,2.98,1.53,0.32,142.21,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_139,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),,Indian Food,India,India,73.25,2.79,7.1,3.6,2.72,1.05,149.47,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_140,Dry washed urad,,Indian Food,India,India,124.71,6.85,15.66,3.5,4.06,0.73,295.79,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_141,Mixed dal,,Indian Food,India,India,61.93,2.51,5.79,3.1,1.62,0.34,141.36,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_142,Whole moong (Moong ki dal),,Indian Food,India,India,53.7,2.25,5.22,2.56,2.02,0.59,123.86,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_143,Whole masoor (Masoor ki dal),,Indian Food,India,India,54.05,2.28,5.37,2.52,1.98,0.67,123.72,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_144,Whole moth (Moth ki dal),,Indian Food,India,India,55.0,2.01,5.74,2.62,1.85,0.66,125.08,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_145,Whole urad (Urad ki dal),,Indian Food,India,India,53.8,2.21,5.05,2.62,2.32,0.57,126.12,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_146,Moti mahal dal (Urad rajmah mix dal),,Indian Food,India,India,103.13,3.93,8.74,5.66,3.38,1.7,157.61,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_147,Black channa curry/Bengal gram curry (Kale chane ki curry),,Indian Food,India,India,140.68,5.67,14.11,6.61,7.99,2.36,358.63,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_148,Chickpeas curry (Safed channa curry),,Indian Food,India,India,163.43,6.1,19.98,6.84,4.73,4.78,357.99,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_149,Lobia curry,,Indian Food,India,India,148.99,6.06,17.88,5.62,4.57,2.51,355.41,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_150,Soyabean curry,,Indian Food,India,India,163.28,10.43,6.76,10.19,7.34,2.66,352.69,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_151,Kidney bean curry (Rajmah curry),,Indian Food,India,India,143.73,5.95,16.38,5.77,5.83,2.49,354.6,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_152,Sambar,,Indian Food,India,India,96.92,3.35,10.57,4.38,3.52,3.31,159.54,,,,,100 g,100 g,Indian Food Composition Data,South Indian,Vegetarian
IND_FOOD_153,Besan kadhi with pakodies,,Indian Food,India,India,403.35,1.64,3.56,42.59,0.81,0.88,60.8,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_154,Khatta channa,,Indian Food,India,India,202.57,6.3,21.14,10.56,5.26,4.75,513.32,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_155,Sprouted moong dal chat,,Indian Food,India,India,32.47,1.35,6.01,0.32,1.35,1.57,87.07,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_156,Potato cauliflower (Aloo gobhi),,Indian Food,India,India,106.18,1.9,5.99,8.13,3.02,0.44,254.76,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_157,Potato capsicum (Shimla mirch aloo),,Indian Food,India,India,125.53,1.41,8.72,9.33,2.02,0.54,277.92,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_158,Cabbage and peas (Pattagobhi aur matar),,Indian Food,India,India,63.88,3.24,6.24,2.64,3.99,0.97,253.73,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_159,Carrot and fenugreek leaves (Gajar methi),,Indian Food,India,India,61.92,2.1,4.17,3.81,4.43,2.11,262.91,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_160,Potato fenugreek (Aloo methi),,Indian Food,India,India,135.15,2.25,8.47,10.04,2.93,0.54,221.93,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_161,Brinjal bhartha (Baingan ka bhartha),,Indian Food,India,India,65.12,1.38,4.4,4.48,3.27,1.82,132.15,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_162,Dry potato (Sookhe aloo),,Indian Food,India,India,103.15,1.62,14.38,4.18,1.88,0.33,199.99,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_163,Beans with coconut (Nariyal aur sem/phali; Beans thoran),,Indian Food,India,India,131.63,2.62,4.39,11.39,5.59,2.06,271.65,,,,,100 g,100 g,Indian Food Composition Data,South Indian,Vegetarian
IND_FOOD_164,Cauliflower with coconut (Nariyal ke saath phoolgobhi),,Indian Food,India,India,132.11,2.64,3.99,11.56,5.27,1.71,286.06,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_165,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),,Indian Food,India,India,106.61,1.82,4.99,8.62,4.52,2.36,219.6,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_166,Raw turnip with coconut,,Indian Food,India,India,132.15,1.8,5.78,11.47,2.79,4.4,275.55,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_167,Raw papaya with coconut (Papaya thoran),,Indian Food,India,India,132.75,1.54,5.58,11.42,4.31,3.82,270.56,,,,,100 g,100 g,Indian Food Composition Data,South Indian,Vegetarian
IND_FOOD_168,Stuffed okra (Bharwa bhindi),,Indian Food,India,India,94.34,2.08,3.85,7.66,4.15,0.48,210.03,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_169,Stuffed round gourd (Bharwa tinde),,Indian Food,India,India,72.8,1.1,4.02,5.75,2.1,1.96,180.15,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_170,Stuffed capsicum (Bharwa shimla mirch),,Indian Food,India,India,90.94,1.34,8.26,5.7,2.01,1.21,173.94,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_171,Stuffed brinjal (Bharwa baingan),,Indian Food,India,India,93.0,1.53,3.96,7.73,4.09,0.92,212.88,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_172,Stuffed tomatoes (Bharwa tamatar),,Indian Food,India,India,93.35,3.28,6.19,6.06,2.2,2.68,165.85,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_173,Pea potato curry (Aloo matar),,Indian Food,India,India,100.92,3.48,9.74,5.13,3.61,1.86,154.83,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_174,Pea paneer curry (Matar paneer),,Indian Food,India,India,134.83,6.61,9.29,7.75,3.3,3.89,157.34,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_175,Pea mushroom curry (Matar mushroom),,Indian Food,India,India,93.3,3.87,7.41,5.16,3.86,1.82,155.48,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_176,Pea curry (Matar ki sabzi),,Indian Food,India,India,102.99,4.51,9.2,5.11,4.44,1.98,154.75,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_177,Pea vadi curry,,Indian Food,India,India,101.95,4.64,8.9,5.08,4.28,1.92,149.51,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_178,Paneer curry,,Indian Food,India,India,176.52,7.8,8.4,12.38,1.4,6.29,216.09,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_179,Lotus stem curry (Kamal kakdi curry),,Indian Food,India,India,110.34,1.53,9.24,7.25,3.14,2.09,217.05,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_180,Gravy for kofta,,Indian Food,India,India,125.59,1.75,6.31,10.35,1.96,3.73,312.86,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_181,Pea kofta curry (Matar kofta curry),,Indian Food,India,India,595.66,2.01,4.17,63.39,1.7,0.88,83.07,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_182,Spinach kofta curry (Palak kofta curry),,Indian Food,India,India,571.78,1.09,3.56,61.49,0.92,0.82,104.51,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_183,Paneer kofta curry,,Indian Food,India,India,670.91,2.39,3.27,72.06,0.4,1.98,121.72,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_184,Lotus stem kofta curry (Kamal kakdi kofta curry),,Indian Food,India,India,633.56,0.96,5.01,67.76,1.01,0.88,108.61,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_185,Raw banana kofta curry (Kela kofta curry),,Indian Food,India,India,627.27,0.62,3.4,67.98,0.59,2.3,88.4,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_186,Cauliflower kofta curry (Phoolgobhi kofta curry),,Indian Food,India,India,641.1,1.04,2.62,69.62,1.0,0.83,93.65,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_187,Cabbage kofta curry (Pattagobhi kofta curry),,Indian Food,India,India,639.81,0.98,2.87,69.4,0.9,0.89,92.85,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_188,Ghiya/Lauki Kofta Curry,,Indian Food,India,India,638.71,0.89,2.71,69.4,0.83,0.82,91.43,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_189,Spinach paneer kofta curry (Palak paneer kofta curry),,Indian Food,India,India,606.03,1.43,2.94,65.41,0.75,1.16,99.37,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_190,Vegetarian egg kofta curry,,Indian Food,India,India,627.41,1.33,4.26,67.24,0.64,1.19,95.89,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_191,Baked vegetables,,Indian Food,India,India,88.99,3.67,8.44,4.44,2.34,2.56,124.7,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_192,Cauliflower musallam (Phoolgobhi musallam),,Indian Food,India,India,58.83,1.89,4.48,3.55,3.06,1.71,123.36,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_193,Baked vegetables with spinach,,Indian Food,India,India,77.79,3.22,6.93,4.03,2.33,2.09,122.85,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_194,Baked potato with skin,,Indian Food,India,India,135.77,3.43,11.11,8.5,1.2,1.66,354.5,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_195,Shepherd's pie (vegetarian),,Indian Food,India,India,135.63,5.04,12.03,7.3,2.23,2.78,118.2,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_196,Baked brinjal in tomato sauce,,Indian Food,India,India,38.63,1.58,4.13,1.62,2.34,2.2,79.66,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_197,Dum aloo,,Indian Food,India,India,682.33,0.7,3.33,74.01,0.68,0.71,183.85,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_198,Spinach paneer (Palak paneer),,Indian Food,India,India,77.68,4.03,4.43,4.76,1.91,2.55,166.87,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_199,Methi chaman,,Indian Food,India,India,475.62,1.54,2.78,50.91,0.53,1.79,54.94,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_200,Sarson ka saag,,Indian Food,India,India,87.84,3.0,5.33,5.86,3.69,0.75,165.45,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_201,Jackfruit sabzi (Kathal ki sabzi),,Indian Food,India,India,625.4,0.69,3.4,67.6,1.02,2.59,58.95,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_202,Avial,,Indian Food,India,India,124.56,2.46,8.47,8.94,5.44,3.83,81.5,,,,,100 g,100 g,Indian Food Composition Data,South Indian,Vegetarian
IND_FOOD_203,Al yakhani,,Indian Food,India,India,147.54,2.86,4.65,13.14,1.27,3.56,206.24,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_204,Shahi paneer,,Indian Food,India,India,156.5,5.06,6.64,12.34,1.4,5.01,215.35,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_205,Paneer in butter sauce,,Indian Food,India,India,145.61,6.99,9.7,8.81,1.5,7.49,151.45,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_206,Methi malai paneer,,Indian Food,India,India,194.98,7.34,8.15,14.76,1.47,6.0,221.16,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_207,Chilli paneer,,Indian Food,India,India,777.51,2.1,3.31,84.01,0.5,1.5,89.04,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_208,Paneer makhana korma,,Indian Food,India,India,775.82,3.24,4.63,82.76,0.21,1.84,77.01,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_209,Kadhai Paneer,,Indian Food,India,India,107.99,4.33,7.34,6.81,2.07,5.54,144.33,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_210,Roghan josh,,Indian Food,India,India,139.59,9.56,4.93,9.02,2.08,2.66,204.31,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_211,Spinach mutton (Palak mutton),,Indian Food,India,India,80.32,5.74,3.45,4.71,2.23,1.42,121.1,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_212,Pea keema curry (Matar keema ki sabzi),,Indian Food,India,India,133.0,8.43,6.24,8.14,2.96,1.82,148.38,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_213,Keema kofta curry,,Indian Food,India,India,154.45,9.77,5.64,10.39,1.51,2.14,311.51,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_214,Kashmiri mutton koftas (Gushtaba),,Indian Food,India,India,97.42,6.33,3.04,6.77,0.62,2.13,130.11,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_215,Mutton yakhni,,Indian Food,India,India,104.13,8.27,0.84,7.7,0.67,0.13,101.02,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_216,Chicken yakhni,,Indian Food,India,India,99.0,10.66,0.78,6.1,0.62,0.12,97.38,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_217,Mutton do piaza,,Indian Food,India,India,183.3,9.39,4.14,14.41,1.93,2.9,118.62,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_218,Mutton chops,,Indian Food,India,India,663.64,4.03,1.48,71.31,0.17,0.42,51.03,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_219,Shammi kebab,,Indian Food,India,India,685.69,4.52,3.54,72.61,1.05,0.31,54.27,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_220,Scotch egg,,Indian Food,India,India,676.89,4.05,1.91,72.62,0.36,0.3,90.67,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_221,Shepherd's pie (with minced meat),,Indian Food,India,India,142.78,7.45,8.06,8.88,1.05,1.7,197.25,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_222,Chicken curry,,Indian Food,India,India,129.22,11.79,3.38,7.57,1.41,1.79,108.0,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_223,Tandoori chicken,,Indian Food,India,India,145.2,16.26,2.34,7.93,0.5,1.58,158.0,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_224,Butter chicken,,Indian Food,India,India,137.0,10.92,3.74,8.7,1.32,2.37,26.21,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_225,Chicken kebab,,Indian Food,India,India,729.41,3.71,1.11,78.89,0.21,0.24,69.76,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_226,Chilli chicken,,Indian Food,India,India,198.83,9.57,2.86,16.56,0.99,0.93,223.75,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_227,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),,Indian Food,India,India,125.03,11.48,2.51,7.61,1.13,1.16,107.56,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_228,Fish curry (Machli curry),,Indian Food,India,India,111.13,8.76,3.77,6.69,1.89,2.02,184.71,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_229,Fried fish (Indian style) (Tali hui machli),,Indian Food,India,India,658.54,4.35,5.4,68.88,0.61,0.4,156.94,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_230,Fried fish and Chips (English Style) (Tali hui machli aur chips),,Indian Food,India,India,651.75,3.36,2.77,69.69,0.29,0.17,72.73,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_231,Tomato fish,,Indian Food,India,India,489.79,2.39,3.18,51.91,0.72,1.35,91.47,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_232,Baked fish with cheese sauce,,Indian Food,India,India,113.96,8.64,4.06,7.02,0.08,3.22,209.48,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_233,Fish tikka,,Indian Food,India,India,117.33,16.0,3.91,4.15,1.18,1.18,503.44,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_234,Tandoori fish,,Indian Food,India,India,95.98,11.19,2.37,4.64,0.58,1.6,123.94,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_235,"Paneer, apple and pineapple salad",,Indian Food,India,India,95.08,3.88,8.35,5.07,1.65,6.36,176.63,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_236,Russian salad,,Indian Food,India,India,114.83,4.26,6.5,7.84,2.57,1.66,101.09,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_237,Pasta salad,,Indian Food,India,India,190.36,4.15,12.7,13.92,0.96,2.6,152.31,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_238,Deviled egg,,Indian Food,India,India,98.56,4.97,2.23,7.72,1.15,0.82,117.29,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Non-Vegetarian
IND_FOOD_239,Hawain salad,,Indian Food,India,India,175.23,4.27,14.35,11.37,3.93,5.24,64.92,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_240,Mixed pulse and vegetable salad,,Indian Food,India,India,83.12,4.74,13.96,0.84,2.96,1.36,127.78,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_241,Sprouted moong salad,,Indian Food,India,India,37.81,2.29,5.48,0.74,0.95,2.13,116.38,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_242,Tossed salad,,Indian Food,India,India,62.96,1.02,4.95,4.22,2.15,1.56,77.5,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_243,Mixed vegetable salad with curd sauce,,Indian Food,India,India,60.28,4.23,7.03,1.5,3.79,2.16,116.66,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_244,Potato salad (Aloo ka salaad),,Indian Food,India,India,89.91,1.4,11.19,4.4,1.32,3.94,125.01,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_245,Waldroff salad,,Indian Food,India,India,141.75,1.47,11.02,10.05,1.87,8.23,13.42,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_246,Coleslaw,,Indian Food,India,India,76.71,1.24,5.59,5.32,2.34,3.62,29.87,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_247,Fruit salad (Phalon ka salaad),,Indian Food,India,India,78.14,0.91,15.96,1.22,1.58,9.78,7.11,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_248,Tomato onion raita (Tamatar aur pyaaz ka raita),,Indian Food,India,India,59.0,3.74,7.08,1.84,0.97,5.98,165.21,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_249,Peanut raita (Mungfali ka raita),,Indian Food,India,India,150.39,8.59,9.3,8.98,1.89,7.11,235.83,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_250,Sprouted moong raita,,Indian Food,India,India,60.89,4.62,6.13,2.19,0.16,5.59,189.2,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_251,Bottle gourd raita (Ghiya/Lauki ka raita),,Indian Food,India,India,56.31,3.98,5.76,2.07,0.85,5.25,188.37,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_252,Cucumber raita (Kheere ka raita),,Indian Food,India,India,59.13,4.04,6.35,2.08,0.86,5.22,189.96,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_253,Carrot and spinach raita (Gajar aur palak ka raita),,Indian Food,India,India,56.83,4.0,5.83,1.99,1.39,4.93,180.79,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_254,Mint raita (Pudinay ka raita),,Indian Food,India,India,77.59,5.64,7.65,2.96,0.34,7.48,274.38,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_255,Potato raita (Aloo ka raita),,Indian Food,India,India,75.38,4.22,10.24,2.04,0.75,5.08,183.37,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_256,Boondi raita,,Indian Food,India,India,687.72,2.19,3.96,73.83,0.46,1.88,99.18,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_257,Sweet raita (Meetha raita),,Indian Food,India,India,99.24,3.24,17.93,1.78,1.02,15.36,42.98,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_258,Dahi vadas/Dahi bhalla,,Indian Food,India,India,667.73,2.96,5.49,70.4,0.97,1.78,79.0,,,,,100 g,100 g,Indian Food Composition Data,South Indian,Vegetarian
IND_FOOD_259,Gunjia,,Indian Food,India,India,667.34,2.98,5.68,70.28,1.13,2.05,77.9,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_260,Saunth/Sonth chutney with tamarind/imli,,Indian Food,India,India,141.53,1.01,33.55,0.15,0.93,31.31,244.38,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_261,Rice kheer (Chawal ki kheer),,Indian Food,India,India,75.03,2.3,10.05,2.97,0.17,8.02,16.24,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_262,Makhana kheer,,Indian Food,India,India,107.85,3.31,12.88,5.0,0.11,11.54,23.4,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_263,Vermicelli kheer (Semiya/Seviyan ki kheer),,Indian Food,India,India,120.07,3.35,15.87,5.0,0.5,12.79,22.52,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_264,Semolina kheer (Suji/Rava kheer),,Indian Food,India,India,113.21,3.43,15.88,4.2,0.51,12.88,22.66,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_265,Paneer kheer,,Indian Food,India,India,105.31,4.53,10.03,5.37,0.07,9.87,23.81,,,,,100 g,100 g,Indian Food Composition Data,North Indian,Vegetarian
IND_FOOD_266,Cabbage kheer (Pattagobhi ki kheer),,Indian Food,India,India,83.51,2.87,9.73,3.8,0.51,9.28,22.67,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_267,Carrot kheer (Gajar ki kheer),,Indian Food,India,India,85.35,2.81,10.09,3.85,0.73,9.63,28.54,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_268,Cauliflower kheer (Phoolgobhi ki kheer),,Indian Food,India,India,81.95,3.04,8.78,3.95,0.55,8.49,25.19,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_269,Moong dal kheer,,Indian Food,India,India,77.16,2.95,9.89,2.97,0.4,7.92,16.34,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_270,Phirni,,Indian Food,India,India,116.12,3.49,16.11,4.34,0.36,10.79,22.47,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_271,Semolina halwa (Suji ka halwa),,Indian Food,India,India,225.65,2.16,24.67,13.38,1.86,13.98,1.28,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
IND_FOOD_272,Shahi suji halwa,,Indian Food,India,India,382.34,3.48,44.44,21.73,2.96,27.21,2.18,,,,,100 g,100 g,Indian Food Composition Data,Pan-Indian,Vegetarian
